Pillar,Question,Best Practice
Cost Optimization,How do you implement cloud financial management?,Establish ownership of cost optimization
Cost Optimization,How do you implement cloud financial management?,Establish a partnership between finance and technology
Cost Optimization,How do you implement cloud financial management?,Establish cloud budgets and forecasts
Cost Optimization,How do you implement cloud financial management?,Implement cost awareness in your organizational processes
Cost Optimization,How do you implement cloud financial management?,Monitor cost proactively
Cost Optimization,How do you implement cloud financial management?,Keep up-to-date with new service releases
Cost Optimization,How do you implement cloud financial management?,Quantify business value from cost optimization
Cost Optimization,How do you implement cloud financial management?,Report and notify on cost optimization
Cost Optimization,How do you implement cloud financial management?,Create a cost-aware culture
Cost Optimization,How do you govern usage?,Develop policies based on your organization requirements
Cost Optimization,How do you govern usage?,Implement goals and targets
Cost Optimization,How do you govern usage?,Implement an account structure
Cost Optimization,How do you govern usage?,Implement cost controls
Cost Optimization,How do you govern usage?,Implement groups and role
Cost Optimization,How do you govern usage?,Track project lifecycle
Cost Optimization,How do you monitor your cost and usage?,Configure detailed information sources
Cost Optimization,How do you monitor your cost and usage?,Identify cost attribution categories
Cost Optimization,How do you monitor your cost and usage?,Establish organization metrics
Cost Optimization,How do you monitor your cost and usage?,Configure billing and cost management tools
Cost Optimization,How do you monitor your cost and usage?,Add organization information to cost and usage
Cost Optimization,How do you monitor your cost and usage?,Allocate costs based on workload metrics
Cost Optimization,How do you decommission resources?,Track resources over their life time
Cost Optimization,How do you decommission resources?,Implement a decommissioning process
Cost Optimization,How do you decommission resources?,Decommission resources
Cost Optimization,How do you decommission resources?,Enforce data retention policies
Cost Optimization,How do you decommission resources?,Decommission resources automatically
Cost Optimization,How do you evaluate cost when you select services?,Identify organization requirements for cost
Cost Optimization,How do you evaluate cost when you select services?,Analyze all components of this workload
Cost Optimization,How do you evaluate cost when you select services?,Perform a thorough analysis of each component
Cost Optimization,How do you evaluate cost when you select services?,Select components of this workload to optimize cost in line with organization priorities
Cost Optimization,How do you evaluate cost when you select services?,Perform cost analysis for different usage over time
Cost Optimization,How do you evaluate cost when you select services?,Select software with cost effective licensing
Cost Optimization,"How do you meet cost targets when you select resource type, size and number?",Perform cost modeling
Cost Optimization,"How do you meet cost targets when you select resource type, size and number?","Select resource type, size, and number based on data"
Cost Optimization,"How do you meet cost targets when you select resource type, size and number?",Consider using shared resources
Cost Optimization,"How do you meet cost targets when you select resource type, size and number?","Select resource type, size, and number automatically based on metrics"
Cost Optimization,How do you use pricing models to reduce cost?,Perform pricing model analysis
Cost Optimization,How do you use pricing models to reduce cost?,Choose Regions based on cost
Cost Optimization,How do you use pricing models to reduce cost?,Select third-party agreements with cost-efficient terms
Cost Optimization,How do you use pricing models to reduce cost?,Implement pricing models for all components of this workload
Cost Optimization,How do you use pricing models to reduce cost?,Perform pricing model analysis at the management account level
Cost Optimization,How do you plan for data transfer charges?,Perform data transfer modeling
Cost Optimization,How do you plan for data transfer charges?,Select components to optimize data transfer cost
Cost Optimization,How do you plan for data transfer charges?,Implement services to reduce data transfer costs
Cost Optimization,"How do you manage demand, and supply resources?",Perform an analysis on the workload demand
Cost Optimization,"How do you manage demand, and supply resources?",Implement a buffer or throttle to manage demand
Cost Optimization,"How do you manage demand, and supply resources?",Supply resources dynamically
Cost Optimization,How do you evaluate new services?,Develop a workload review process
Cost Optimization,How do you evaluate new services?,Review and analyze this workload regularly
Cost Optimization,How do you evaluate the cost of effort?,Perform automation for operations
Operational Excellence,How do you determine what your priorities are?,Evaluate customer needs
Operational Excellence,How do you determine what your priorities are?,Evaluate internal customer needs
Operational Excellence,How do you determine what your priorities are?,Evaluate governance requirements
Operational Excellence,How do you determine what your priorities are?,Evaluate compliance requirements
Operational Excellence,How do you determine what your priorities are?,Evaluate threat landscape
Operational Excellence,How do you determine what your priorities are?,Evaluate tradeoffs while managing benefits and risks
Operational Excellence,How do you structure your organization to support your business outcomes?,Resources have identified owners
Operational Excellence,How do you structure your organization to support your business outcomes?,Processes and procedures have identified owners
Operational Excellence,How do you structure your organization to support your business outcomes?,Operations activities have identified owners responsible for their performance
Operational Excellence,How do you structure your organization to support your business outcomes?,Mechanisms exist to manage responsibilities and ownership
Operational Excellence,How do you structure your organization to support your business outcomes?,"Mechanisms exist to request additions, changes, and exceptions"
Operational Excellence,How do you structure your organization to support your business outcomes?,Responsibilities between teams are predefined or negotiated
Operational Excellence,How does your organizational culture support your business outcomes?,Provide executive sponsorship
Operational Excellence,How does your organizational culture support your business outcomes?,Escalation is encouraged
Operational Excellence,How does your organizational culture support your business outcomes?,"Communications are timely, clear, and actionable"
Operational Excellence,How does your organizational culture support your business outcomes?,Team members are empowered to take action when outcomes are at risk
Operational Excellence,How does your organizational culture support your business outcomes?,Experimentation is encouraged
Operational Excellence,How does your organizational culture support your business outcomes?,Team members are encouraged to maintain and grow their skill sets
Operational Excellence,How does your organizational culture support your business outcomes?,Resource teams appropriately
Operational Excellence,How do you implement observability in your workload?,Identify key performance indicators
Operational Excellence,How do you implement observability in your workload?,Implement application telemetry
Operational Excellence,How do you implement observability in your workload?,Implement user experience telemetry
Operational Excellence,How do you implement observability in your workload?,Implement dependency telemetry
Operational Excellence,How do you implement observability in your workload?,Implement distributed tracing
Operational Excellence,"How do you reduce defects, ease remediation, and improve flow into production?",Use version control
Operational Excellence,"How do you reduce defects, ease remediation, and improve flow into production?",Test and validate changes
Operational Excellence,"How do you reduce defects, ease remediation, and improve flow into production?",Use configuration management systems
Operational Excellence,"How do you reduce defects, ease remediation, and improve flow into production?",Use build and deployment management systems
Operational Excellence,"How do you reduce defects, ease remediation, and improve flow into production?",Perform patch management
Operational Excellence,"How do you reduce defects, ease remediation, and improve flow into production?",Share design standards
Operational Excellence,"How do you reduce defects, ease remediation, and improve flow into production?",Implement practices to improve code quality
Operational Excellence,"How do you reduce defects, ease remediation, and improve flow into production?",Use multiple environments
Operational Excellence,"How do you reduce defects, ease remediation, and improve flow into production?","Make frequent, small, reversible changes"
Operational Excellence,"How do you reduce defects, ease remediation, and improve flow into production?",Fully automate integration and deployment
Operational Excellence,How do you mitigate deployment risks?,Plan for unsuccessful changes
Operational Excellence,How do you mitigate deployment risks?,Test deployments
Operational Excellence,How do you mitigate deployment risks?,Employ safe deployment strategies
Operational Excellence,How do you mitigate deployment risks?,Automate testing and rollback
Operational Excellence,How do you know that you are ready to support a workload?,Ensure personnel capability
Operational Excellence,How do you know that you are ready to support a workload?,Ensure a consistent review of operational readiness
Operational Excellence,How do you know that you are ready to support a workload?,Use runbooks to perform procedures
Operational Excellence,How do you know that you are ready to support a workload?,Use playbooks to investigate issues
Operational Excellence,How do you know that you are ready to support a workload?,Make informed decisions to deploy systems and changes
Operational Excellence,How do you know that you are ready to support a workload?,Create support plans for production workloads
Operational Excellence,How do you utilize workload observability in your organization?,Create actionable alerts
Operational Excellence,How do you utilize workload observability in your organization?,Analyze workload metrics
Operational Excellence,How do you utilize workload observability in your organization?,Analyze workload logs
Operational Excellence,How do you utilize workload observability in your organization?,Analyze workload traces
Operational Excellence,How do you utilize workload observability in your organization?,Create dashboards
Operational Excellence,How do you understand the health of your operations?,Measure operations goals and KPIs with metrics
Operational Excellence,How do you understand the health of your operations?,Communicate status and trends to ensure visibility into operation
Operational Excellence,How do you understand the health of your operations?,Review operations metrics and prioritize improvement
Operational Excellence,How do you manage workload and operations events?,"Use a process for event, incident, and problem management"
Operational Excellence,How do you manage workload and operations events?,Have a process per alert
Operational Excellence,How do you manage workload and operations events?,Prioritize operational events based on business impact
Operational Excellence,How do you manage workload and operations events?,Define escalation paths
Operational Excellence,How do you manage workload and operations events?,Define a customer communication plan for service-impacting events
Operational Excellence,How do you manage workload and operations events?,Communicate status through dashboards
Operational Excellence,How do you manage workload and operations events?,Automate responses to events
Operational Excellence,How do you evolve operations?,Have a process for continuous improvement
Operational Excellence,How do you evolve operations?,Perform post-incident analysis
Operational Excellence,How do you evolve operations?,Implement feedback loops
Operational Excellence,How do you evolve operations?,Perform knowledge management
Operational Excellence,How do you evolve operations?,Define drivers for improvement
Operational Excellence,How do you evolve operations?,Validate insights
Operational Excellence,How do you evolve operations?,Perform operations metrics reviews
Operational Excellence,How do you evolve operations?,Document and share lessons learned
Operational Excellence,How do you evolve operations?,Allocate time to make improvements
Performance Efficiency,How do you select the appropriate cloud resources and architecture patterns for your workload?,Learn about and understand available cloud services and features
Performance Efficiency,How do you select the appropriate cloud resources and architecture patterns for your workload?,Evaluate how trade-offs impact customers and architecture efficiency
Performance Efficiency,How do you select the appropriate cloud resources and architecture patterns for your workload?,Use guidance from your cloud provider or an appropriate partner to learn about architecture patterns and best practices
Performance Efficiency,How do you select the appropriate cloud resources and architecture patterns for your workload?,Factor cost into architectural decisions
Performance Efficiency,How do you select the appropriate cloud resources and architecture patterns for your workload?,Use policies and reference architectures
Performance Efficiency,How do you select the appropriate cloud resources and architecture patterns for your workload?,Use benchmarking to drive architectural decisions
Performance Efficiency,How do you select the appropriate cloud resources and architecture patterns for your workload?,Use a data-driven approach for architectural choices
Performance Efficiency,How do you select and use compute resources in your workload?,Select the best compute options for your workload
Performance Efficiency,How do you select and use compute resources in your workload?,Collect compute-related metrics
Performance Efficiency,How do you select and use compute resources in your workload?,Scale your compute resources dynamically
Performance Efficiency,How do you select and use compute resources in your workload?,Understand the available compute configuration and features
Performance Efficiency,How do you select and use compute resources in your workload?,Configure and right-size compute resources
Performance Efficiency,How do you select and use compute resources in your workload?,Use optimized hardware-based compute accelerators
Performance Efficiency,"How do you store, manage, and access data in your workload?",Use purpose-built data store that best support your data access and storage requirements
Performance Efficiency,"How do you store, manage, and access data in your workload?",Collect and record data store performance metrics
Performance Efficiency,"How do you store, manage, and access data in your workload?",Evaluate available configuration options for data store
Performance Efficiency,"How do you store, manage, and access data in your workload?",Implement strategies to improve query performance in data store
Performance Efficiency,"How do you store, manage, and access data in your workload?",Implement data access patterns that utilize caching
Performance Efficiency,How do you select and configure networking resources in your workload?,Understand how networking impacts performance
Performance Efficiency,How do you select and configure networking resources in your workload?,Evaluate available networking features
Performance Efficiency,How do you select and configure networking resources in your workload?,Choose appropriate dedicated connectivity or VPN for your workload
Performance Efficiency,How do you select and configure networking resources in your workload?,Use load balancing to distribute traffic across multiple resources
Performance Efficiency,How do you select and configure networking resources in your workload?,Choose network protocols to improve performance
Performance Efficiency,How do you select and configure networking resources in your workload?,Choose your workload's location based on network requirements
Performance Efficiency,How do you select and configure networking resources in your workload?,Optimize network configuration based on metrics
Performance Efficiency,What process do you use to support more performance efficiency for your workload?,Establish key performance indicators (KPIs) to measure workload health and performance
Performance Efficiency,What process do you use to support more performance efficiency for your workload?,Use monitoring solutions to understand the areas where performance is most critical
Performance Efficiency,What process do you use to support more performance efficiency for your workload?,Define a process to improve workload performance
Performance Efficiency,What process do you use to support more performance efficiency for your workload?,Review metrics at regular intervals
Performance Efficiency,What process do you use to support more performance efficiency for your workload?,Load test your workload
Performance Efficiency,What process do you use to support more performance efficiency for your workload?,Use automation to proactively remediate performance-related issues
Performance Efficiency,What process do you use to support more performance efficiency for your workload?,Keep your workload and services up-to-date
Reliability,How do you manage service quotas and constraints?,Aware of service quotas and constraints
Reliability,How do you manage service quotas and constraints?,Manage service quotas across accounts and Regions
Reliability,How do you manage service quotas and constraints?,Accommodate fixed service quotas and constraints through architecture
Reliability,How do you manage service quotas and constraints?,Monitor and manage quotas
Reliability,How do you manage service quotas and constraints?,Automate quota management
Reliability,How do you manage service quotas and constraints?,Ensure that a sufficient gap exists between the current quotas and the maximum usage to accommodate failover
